id;modification_counter;first_in;last_out;in_swipes;out_swipes;working_hours;out_side_hours;overtime;status
1;62015;64030;91795;Som Maryland;PNG;11386;29404;23902;multi-tasking markets
2;54902;33621;64459;e-business;orchid;58895;30787;28210;Island Keys
3;96693;76174;85218;bluetooth ADP;intuitive structure;21276;79497;47204;convergence
4;99077;47467;64239;SSL;Investor infrastructures;42162;53171;10615;Row Creative interface
5;18457;22274;59124;Decentralized supply-chains whiteboard;Washington;47731;37309;84533;Sausages technologies
6;84920;22592;45455;system seamless;Falls;47529;45516;93889;Identity Integration hacking
7;40335;14377;17220;data-warehouse Distributed;Somali;59607;99524;39920;hacking Hat Steel
8;1436;64245;2242;Associate next-generation;Agent convergence;17599;36955;46849;Music deliver visionary
9;29807;57580;72337;Path;Toys panel;51636;91736;23262;Account Paraguay virtual
10;1242;35542;51738;national zero;Cotton Account;73260;67855;91600;Vermont
