id;notification_description;notification_required;notification_type
1;transmitter rich;false;expedite Engineer didactic
2;calculate toolset;true;Infrastructure Soft
3;Sports Producer Clothing;false;override Sleek Decentralized
4;Tasty Phased dynamic;false;Data
5;hack synthesizing Regional;false;Human Baby Congo
6;Borders;true;Bedfordshire connecting multi-state
7;strategic;true;Soft Shoes Games
8;bypass Mouse;true;withdrawal coherent Brand
9;markets bus North;false;Quality Crescent Practical
10;hacking;true;overriding Tuna Realigned
