id;modification_counter;emp_type;emp_status;badge_id;mobile_app_access;resigndate;joindate
1;81234;initiatives Radial Pataca;Prairie Executive;Games Facilitator payment;true;2022-01-27;2022-01-26
2;495;copy Lithuania Central;Planner Consultant Myanmar;Steel proactive bi-directional;false;2022-01-26;2022-01-27
3;80316;Hat;portals Trace;back-end bifurcated Avon;false;2022-01-26;2022-01-26
4;91398;Baby USB;Manager withdrawal info-mediaries;card Lead Specialist;true;2022-01-27;2022-01-27
5;77070;cyan Steel;turquoise;system;false;2022-01-26;2022-01-26
6;33916;Metal;Concrete;Italy Loan Data;false;2022-01-26;2022-01-26
7;41858;Bike service-desk;Avon Customer Finland;Tasty Granite;false;2022-01-26;2022-01-27
8;60388;harness;Card action-items haptic;Shoes Quality;true;2022-01-26;2022-01-27
9;96872;hack Wooden;Intranet clear-thinking lavender;Nevada Light target;true;2022-01-26;2022-01-26
10;17641;online generate Investor;Oval;invoice dynamic;true;2022-01-26;2022-01-26
