id;modificationcounter;basicpay;da;hra;medicalallowance;conveyanceallowance;transportallowance;specialallowance;mealallowance;bonus;pf;esi;pt;lwf;lta;employerpf;employeresi
1;59238;80502;81626;53708;1629;5118;74058;28419;38202;19622;12944;46338;4847;99910;70096;13673;54036
2;95318;67002;86280;49549;67763;46598;4213;67344;99191;89863;81834;52602;28095;48543;91204;8324;62907
3;23218;40874;53327;52745;68549;80994;21548;39709;97795;70554;47228;7931;82188;19935;86528;87730;80255
4;34370;76323;63594;85352;85726;37822;91711;4449;76896;66579;65199;32490;66945;23889;80075;82354;57677
5;99040;48876;41970;42429;38022;71997;79854;4237;15078;33683;52994;14405;84500;54636;36329;78989;7650
6;34000;11150;79266;92694;67958;26006;19520;66560;95017;51037;3975;89992;20613;61781;29942;8103;43854
7;18240;6525;65239;35506;12243;94196;76588;49134;67963;6060;75824;76997;95144;35450;3235;51967;79471
8;81529;10569;87069;22964;56239;61806;28998;55178;97305;2130;77179;91870;52632;53798;80760;5913;56027
9;4052;71087;21176;71466;50942;21156;98286;86023;44804;71119;31534;79962;15282;27563;33368;10715;91332
10;86760;27740;4917;11009;92149;63855;17175;31004;87064;8082;10741;48184;98787;41355;97252;6299;50322
