id;modification_counter;holiday_name;holiday_date;holiday_type
1;93106;Metal;2022-01-26;deliverables bleeding-edge Officer
2;33513;Account;2022-01-26;withdrawal
3;16908;synthesizing Licensed;2022-01-26;compelling
4;46324;revolutionize Berkshire Berkshire;2022-01-27;neural-net Shirt deposit
5;743;Berkshire Investor;2022-01-26;partnerships
6;46005;Handmade;2022-01-27;Interactions application
7;85961;Avon Borders Island;2022-01-26;Intelligent Account B2B
8;97852;RAM dynamic;2022-01-26;eyeballs Guilder Fish
9;34595;optical optimal Metal;2022-01-27;discrete
10;78595;e-business auxiliary;2022-01-26;Business-focused indigo
