id;modification_counter;leave_type;paidleave;from_date;to_date;hours;remarks;notfication_required
1;4325;Face copy;Industrial;2022-01-26;2022-01-27;64366;alarm protocol;true
2;70594;Specialist HTTP synthesizing;Personal cyan deposit;2022-01-27;2022-01-26;65036;SDD out-of-the-box;false
3;11751;Honduras Unbranded Buckinghamshire;Mouse Generic Operations;2022-01-26;2022-01-26;38545;parsing Stand-alone;true
4;23343;architect;Road withdrawal;2022-01-27;2022-01-26;73556;Auto Hollow;true
5;84204;open-source;feed Paradigm;2022-01-27;2022-01-27;82534;disintermediate Incredible;true
6;27662;turn-key Fantastic;Cotton paradigm;2022-01-26;2022-01-26;52034;Checking;false
7;61903;violet strategize supply-chains;Mouse functionalities;2022-01-26;2022-01-27;37228;Light;true
8;34471;up Bedfordshire;face;2022-01-26;2022-01-26;64168;web-enabled Garden;false
9;91362;programming Devolved;Customer;2022-01-26;2022-01-26;22598;Handcrafted;false
10;7763;Ghana transmitting;Bacon;2022-01-26;2022-01-26;49041;York;false
