id;modification_counter;leave_type;short_name;leave_limit;carry_forward;applicable_to;paid_leave
1;13298;Chips Dram extensible;Sleek;Steel Rest multi-tasking;2456;Legacy Awesome Books;false
2;65584;network;Berkshire Berkshire orange;Fish Re-contextualized Michigan;39454;Refined capacitor;false
3;40469;HTTP Crest out-of-the-box;back-end;Cameroon;76599;Buckinghamshire;false
4;16826;national orange Boliviano;Wooden invoice purple;synthesize;63747;Cotton;true
5;77385;Fresh tan;Personal schemas Keyboard;Future Infrastructure Dynamic;13188;transmitting;true
6;97365;Fantastic;Ball;COM Persevering;68932;Plastic Connecticut Generic;false
7;98799;complexity Row Tasty;Cheese;Regional leading-edge end-to-end;6114;navigate;false
8;2483;Fresh Cheese Carolina;Bike;Small Metal mindshare;44479;Open-source Borders;false
9;1168;alarm Fresh;Regional real-time;Towels Towels Account;51646;Digitized Intelligent virtual;false
10;10914;GB Rest;Orchard efficient withdrawal;experiences;42767;tan copying;false
